rank,finalWorth,category,personName,age,country,city,source,industries,countryOfCitizenship,organization,selfMade,status,gender,birthDate,lastName,firstName,title,date,state,residenceStateRegion,birthYear,birthMonth,birthDay,cpi_country,cpi_change_country,gdp_country,gross_tertiary_education_enrollment,gross_primary_education_enrollment_country,life_expectancy_country,tax_revenue_country_country,total_tax_rate_country,population_country,latitude_country,longitude_country
11,80500,Fashion & Retail,Francoise Bettencourt Meyers & family,69,France,Paris,L'Oréal,Fashion & Retail,France,,FALSE,U,F,7/10/1953 0:00,Bettencourt Meyers,Francoise,,04-04-2023 05:01,,,1953,7,10,110.05,1.1,"$2,715,518,274,227 ",65.6,102.5,82.5,24.2,60.7,67059887,46.227638,2.213749
12,79200,Technology,Larry Page,50,United States,Palo Alto,Google,Technology,United States,Alphabet,TRUE,D,M,3/26/1973 0:00,Page,Larry,Cofounder and board member,04-04-2023 05:01,California,West,1973,3,26,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
13,77300,Fashion & Retail,Amancio Ortega,87,Spain,La Coruna,Zara,Fashion & Retail,Spain,,TRUE,U,M,3/28/1936 0:00,Ortega,Amancio,,04-04-2023 05:01,,,1936,3,28,110.96,0.7,"$1,394,116,310,769 ",88.9,102.7,83.3,14.2,47,47076781,40.463667,-3.74922
14,76000,Technology,Sergey Brin,49,United States,Los Altos,Google,Technology,United States,Alphabet,TRUE,D,M,8/21/1973 0:00,Brin,Sergey,Cofounder and board member,04-04-2023 05:01,California,West,1973,8,21,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
15,68000,Food & Beverage,Zhong Shanshan,68,China,Hangzhou,"Beverages, pharmaceuticals",Food & Beverage,China,,TRUE,U,M,12/1/1954 0:00,Zhong,Shanshan,,04-04-2023 05:01,,,1954,12,1,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
16,64400,Technology,Mark Zuckerberg,38,United States,Palo Alto,Facebook,Technology,United States,Meta Platforms,TRUE,D,M,5/14/1984 0:00,Zuckerberg,Mark,Cofounder,04-04-2023 05:01,California,West,1984,5,14,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
17,59000,Diversified,Charles Koch & family,87,United States,Wichita,Koch Industries,Diversified,United States,"Koch Industries, Inc.",FALSE,D,M,11/1/1935 0:00,Koch,Charles,Chairman and CEO,04-04-2023 05:01,Kansas,Midwest,1935,11,1,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
19,58800,Fashion & Retail,Jim Walton,74,United States,Bentonville,Walmart,Fashion & Retail,United States,"Arvest Bank Group, Inc.",FALSE,D,M,6/7/1948 0:00,Walton,Jim,Chairman and CEO,04-04-2023 05:01,Arkansas,South,1948,6,7,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
20,57600,Fashion & Retail,Rob Walton & family,78,United States,Bentonville,Walmart,Fashion & Retail,United States,Walmart,FALSE,D,M,10/27/1944 0:00,Walton,Rob,Director,04-04-2023 05:01,Arkansas,South,1944,10,27,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
21,56700,Fashion & Retail,Alice Walton,73,United States,Fort Worth,Walmart,Fashion & Retail,United States,Crystal Bridges Museum of American Art,FALSE,D,F,10/7/1949 0:00,Walton,Alice,Philanthropist,04-04-2023 05:01,Texas,South,1949,10,7,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
22,54400,Media & Entertainment,David Thomson & family,65,Canada,Toronto,Media,Media & Entertainment,Canada,Thomson Reuters Corporation,FALSE,U,M,6/12/1957 0:00,Thomson,David,Chairman,04-04-2023 05:01,,,1957,6,12,116.76,1.9,"$1,736,425,629,520 ",68.9,100.9,81.9,12.8,24.5,36991981,56.130366,-106.346771
23,50100,Technology,Michael Dell,58,United States,Austin,Dell Technologies,Technology,United States,Dell Inc.,TRUE,D,M,2/23/1965 0:00,Dell,Michael,Chairman and CEO,04-04-2023 05:01,Texas,South,1965,2,23,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
24,47200,Diversified,Gautam Adani,60,India,Ahmedabad,"Infrastructure, commodities",Diversified,India,,TRUE,D,M,6/24/1962 0:00,Adani,Gautam,,04-04-2023 05:01,,,1962,6,24,180.44,7.7,"$2,611,000,000,000 ",28.1,113,69.4,11.2,49.7,1366417754,20.593684,78.96288
25,45100,Fashion & Retail,Phil Knight & family,85,United States,Hillsboro,Nike,Fashion & Retail,United States,Nike,TRUE,D,M,2/24/1938 0:00,Knight,Phil,Chairman,04-04-2023 05:01,Oregon,West,1938,2,24,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
26,45000,Technology,Zhang Yiming,39,China,Beijing,TikTok,Technology,China,ByteDance,TRUE,D,M,1/1/1984 0:00,Zhang,Yiming,Founder,04-04-2023 05:01,,,1984,1,1,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
27,42900,Fashion & Retail,Dieter Schwarz,83,Germany,Neckarsulm,Retail,Fashion & Retail,Germany,,FALSE,D,M,9/24/1939 0:00,Schwarz,Dieter,,04-04-2023 05:01,,,1939,9,24,112.85,1.4,"$3,845,630,030,824 ",70.2,104,80.9,11.5,48.8,83132799,51.165691,10.451526
28,40100,Fashion & Retail,François Pinault & family,86,France,Paris,Luxury goods,Fashion & Retail,France,,TRUE,D,M,8/21/1936 0:00,Pinault,François,,04-04-2023 05:01,,,1936,8,21,110.05,1.1,"$2,715,518,274,227 ",65.6,102.5,82.5,24.2,60.7,67059887,46.227638,2.213749
29,39100,Logistics,Klaus-Michael Kuehne,85,Switzerland,Schindellegi,Shipping,Logistics,Germany,,FALSE,U,M,6/2/1937 0:00,Kuehne,Klaus-Michael,,04-04-2023 05:01,,,1937,6,2,99.55,0.4,"$703,082,435,360 ",59.6,105.2,83.6,10.1,28.8,8574832,46.818188,8.227512
30,38900,Food & Beverage,Giovanni Ferrero,58,Belgium,Brussels,"Nutella, chocolates",Food & Beverage,Italy,,FALSE,U,M,9/21/1964 0:00,Ferrero,Giovanni,,04-04-2023 05:01,,,1964,9,21,117.11,1.4,"$529,606,710,418 ",79.7,103.9,81.6,24,55.4,11484055,50.503887,4.469936
31,38300,Food & Beverage,Jacqueline Mars,83,United States,The Plains,"Candy, pet food",Food & Beverage,United States,,FALSE,U,F,10/10/1939 0:00,Mars,Jacqueline,,04-04-2023 05:01,Virginia,South,1939,10,10,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
33,38000,Diversified,Li Ka-shing,94,Hong Kong,,Diversified,Diversified,Hong Kong,CK Hutchison Holdings,TRUE,U,M,6/13/1928 0:00,Li,Ka-shing,Senior Advisor,04-04-2023 05:01,,,1928,6,13,,,,,,,,,,,
34,35300,Technology,Ma Huateng,51,China,Shenzhen,Internet media,Technology,China,Tencent Holdings,TRUE,D,M,10/29/1971 0:00,Ma,Huateng,Chairman and CEO,04-04-2023 05:01,,,1971,10,29,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
35,35000,Gambling & Casinos,Miriam Adelson & family,77,United States,Las Vegas,Casinos,Gambling & Casinos,United States,,FALSE,U,F,10/10/1945 0:00,Adelson,Miriam,,04-04-2023 05:01,Nevada,West,1945,10,10,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
37,34700,Food & Beverage,Mark Mateschitz,30,Austria,Salzburg,Red Bull,Food & Beverage,Austria,,FALSE,N,M,5/7/1992 0:00,Mateschitz,Mark,,04-04-2023 05:01,,,1992,5,7,118.06,1.5,"$446,314,739,528 ",85.1,103.1,81.6,25.4,51.4,8877067,47.516231,14.550072
38,33400,Automotive,Robin Zeng,54,China,Ningde,Batteries,Automotive,Hong Kong,,TRUE,D,M,1/1/1969 0:00,Zeng,Robin,,04-04-2023 05:01,,,1969,1,1,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
39,32600,Fashion & Retail,Tadashi Yanai & family,74,Japan,Tokyo,Fashion retail,Fashion & Retail,Japan,,TRUE,U,M,2/7/1949 0:00,Yanai,Tadashi,,04-04-2023 05:01,,,1949,2,7,105.48,0.5,"$5,081,769,542,380 ",63.2,98.8,84.2,11.9,46.7,126226568,36.204824,138.252924
40,32100,Diversified,Len Blavatnik,65,United Kingdom,London,"Music, chemicals",Diversified,United States,,TRUE,D,M,6/1/1957 0:00,Blavatnik,Len,,04-04-2023 05:01,,,1957,6,1,119.62,1.7,"$2,827,113,184,696 ",60,101.2,81.3,25.5,30.6,66834405,55.378051,-3.435973
41,31600,Fashion & Retail,Alain Wertheimer,74,United States,New York,Chanel,Fashion & Retail,France,,FALSE,U,M,8/28/1948 0:00,Wertheimer,Alain,,04-04-2023 05:01,New York,Northeast,1948,8,28,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
43,31200,Logistics,Gianluigi Aponte,82,Switzerland,Geneva,Shipping,Logistics,Switzerland,,TRUE,Split Family Fortune,M,6/27/1940 0:00,Aponte,Gianluigi,,04-04-2023 05:01,,,1940,6,27,99.55,0.4,"$703,082,435,360 ",59.6,105.2,83.6,10.1,28.8,8574832,46.818188,8.227512
45,30200,Technology,Colin Zheng Huang,43,China,Shanghai,E-commerce,Technology,China,,TRUE,U,M,2/2/1980 0:00,Huang,Colin Zheng,,04-04-2023 05:01,,,1980,2,2,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
46,29700,Manufacturing,Reinhold Wuerth & family,87,Germany,Kuenzelsau,Fasteners,Manufacturing,Germany,,TRUE,U,M,4/20/1935 0:00,Wuerth,Reinhold,,04-04-2023 05:01,,,1935,4,20,112.85,1.4,"$3,845,630,030,824 ",70.2,104,80.9,11.5,48.8,83132799,51.165691,10.451526
47,29500,Real Estate,Lee Shau Kee,95,Hong Kong,Hong Kong,Real estate,Real Estate,Hong Kong,,TRUE,D,M,1/29/1928 0:00,Lee,Shau Kee,,04-04-2023 05:01,,,1928,1,29,,,,,,,,,,,
48,28500,Finance & Investments,Jeff Yass,64,United States,Haverford,"Trading, investments",Finance & Investments,United States,,TRUE,U,M,7/17/1958 0:00,Yass,Jeff,,04-04-2023 05:01,Pennsylvania,Northeast,1958,7,17,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
49,28100,Finance & Investments,Jim Simons,84,United States,East Setauket,Hedge funds,Finance & Investments,United States,Renaissance Technologies Corp.,TRUE,D,M,4/25/1938 0:00,Simons,Jim,Founder,04-04-2023 05:01,New York,Northeast,1938,4,25,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
50,27800,Finance & Investments,Stephen Schwarzman,76,United States,New York,Investments,Finance & Investments,United States,Blackstone Group,TRUE,D,M,2/14/1947 0:00,Schwarzman,Stephen,Chairman and CEO,04-04-2023 05:01,New York,Northeast,1947,2,14,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
51,27400,Automotive,Susanne Klatten,60,Germany,Bad Homburg,"BMW, pharmaceuticals",Automotive,Germany,,FALSE,U,F,4/28/1962 0:00,Klatten,Susanne,,04-04-2023 05:01,,,1962,4,28,112.85,1.4,"$3,845,630,030,824 ",70.2,104,80.9,11.5,48.8,83132799,51.165691,10.451526
52,27000,Metals & Mining,Gina Rinehart,69,Australia,Perth,Mining,Metals & Mining,Australia,Hancock Prospecting,FALSE,D,F,2/9/1954 0:00,Rinehart,Gina,Executive Chairman,04-04-2023 05:01,,,1954,2,9,119.8,1.6,"$1,392,680,589,329 ",113.1,100.3,82.7,23,47.4,25766605,-25.274398,133.775136
53,26700,Technology,William Ding,51,China,Hangzhou,Online games,Technology,China,,TRUE,U,M,10/1/1971 0:00,Ding,William,,04-04-2023 05:01,,,1971,10,1,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
54,26600,Metals & Mining,Germán Larrea Mota Velasco & family,69,Mexico,Mexico City,Mining,Metals & Mining,Mexico,,FALSE,D,M,10/26/1953 0:00,Larrea Mota Velasco,Germán,,04-04-2023 05:01,,,1953,10,26,141.54,3.6,"$1,258,286,717,125 ",40.2,105.8,75,13.1,55.1,126014024,23.634501,-102.552784
55,25600,Technology,Shiv Nadar,77,India,Delhi,software services,Technology,India,,TRUE,D,M,7/18/1945 0:00,Nadar,Shiv,,04-04-2023 05:01,,,1945,7,18,180.44,7.7,"$2,611,000,000,000 ",28.1,113,69.4,11.2,49.7,1366417754,20.593684,78.96288
56,25500,Energy,Low Tuck Kwong,74,Indonesia,Jakarta,Coal,Energy,Indonesia,,TRUE,U,M,4/17/1948 0:00,Low Tuck,Kwong,,04-04-2023 05:01,,,1948,4,17,151.18,3,"$1,119,190,780,753 ",36.3,106.4,71.5,10.2,30.1,270203917,-0.789275,113.921327
57,25300,Finance & Investments,Thomas Peterffy,78,United States,Palm Beach,Discount brokerage,Finance & Investments,United States,,TRUE,U,M,9/30/1944 0:00,Peterffy,Thomas,,04-04-2023 05:01,Florida,South,1944,9,30,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
58,25200,Metals & Mining,Andrey Melnichenko & family,51,United Arab Emirates,Ras Al Khaimah,"Fertilizers, coal",Metals & Mining,Russia,,TRUE,U,M,3/8/1972 0:00,Melnichenko,Andrey,,04-04-2023 05:01,,,1972,3,8,114.52,-1.9,"$421,142,267,938 ",36.8,108.4,77.8,0.1,15.9,9770529,23.424076,53.847818
59,24600,Automotive,Stefan Quandt,56,Germany,Frankfurt,BMW,Automotive,Germany,,FALSE,U,M,5/9/1966 0:00,Quandt,Stefan,,04-04-2023 05:01,,,1966,5,9,112.85,1.4,"$3,845,630,030,824 ",70.2,104,80.9,11.5,48.8,83132799,51.165691,10.451526
60,24400,Technology,MacKenzie Scott,52,United States,Seattle,Amazon,Technology,United States,,FALSE,D,F,4/7/1970 0:00,Scott,MacKenzie,Philanthropist,04-04-2023 05:01,Washington,West,1970,4,7,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
61,24200,Finance & Investments,R. Budi Hartono,82,Indonesia,Kudus,"Banking, tobacco",Finance & Investments,Indonesia,,FALSE,U,M,1/1/1941 0:00,Hartono,R. Budi,,04-04-2023 05:01,,,1941,1,1,151.18,3,"$1,119,190,780,753 ",36.3,106.4,71.5,10.2,30.1,270203917,-0.789275,113.921327
62,23700,Metals & Mining,Vladimir Potanin,62,Russia,Moscow,Metals,Metals & Mining,Russia,,TRUE,U,M,1/3/1961 0:00,Potanin,Vladimir,,04-04-2023 05:01,,,1961,1,3,180.75,4.5,"$1,699,876,578,871 ",81.9,102.6,72.7,11.4,46.2,144373535,61.52401,105.318756
63,23500,Technology,Jack Ma,58,China,Hangzhou,E-commerce,Technology,China,,TRUE,U,M,9/10/1964 0:00,Ma,Jack,,04-04-2023 05:01,,,1964,9,10,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
64,23400,Manufacturing,He Xiangjian & family,80,China,Foshan,Home appliances,Manufacturing,China,,TRUE,D,M,8/11/1942 0:00,He,Xiangjian,,04-04-2023 05:01,,,1942,8,11,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
65,23100,Metals & Mining,Iris Fontbona & family,80,Chile,Santiago,Mining,Metals & Mining,Chile,,FALSE,U,F,1/1/1943 0:00,Fontbona,Iris,,04-04-2023 05:01,,,1943,1,1,131.91,2.6,"$282,318,159,745 ",88.5,101.4,80,18.2,34,18952038,-35.675147,-71.542969
67,22900,Manufacturing,James Ratcliffe,70,United Kingdom,London,Chemicals,Manufacturing,United Kingdom,,TRUE,U,M,1/1/1953 0:00,Ratcliffe,James,,04-04-2023 05:01,,,1953,1,1,119.62,1.7,"$2,827,113,184,696 ",60,101.2,81.3,25.5,30.6,66834405,55.378051,-3.435973
68,22600,Healthcare,Cyrus Poonawalla,81,India,Pune,Vaccines,Healthcare,India,,FALSE,D,M,5/11/1941 0:00,Poonawalla,Cyrus,,04-04-2023 05:01,,,1941,5,11,180.44,7.7,"$2,611,000,000,000 ",28.1,113,69.4,11.2,49.7,1366417754,20.593684,78.96288
69,22400,Telecom,Masayoshi Son,65,Japan,Tokyo,"Internet, telecom",Telecom,Japan,SoftBank Group Corp.,TRUE,U,M,8/11/1957 0:00,Son,Masayoshi,CEO,04-04-2023 05:01,,,1957,8,11,105.48,0.5,"$5,081,769,542,380 ",63.2,98.8,84.2,11.9,46.7,126226568,36.204824,138.252924
70,22100,Metals & Mining,Vladimir Lisin,66,Russia,Moscow,"Steel, transport",Metals & Mining,Russia,,TRUE,U,M,5/7/1956 0:00,Lisin,Vladimir,,04-04-2023 05:01,,,1956,5,7,180.75,4.5,"$1,699,876,578,871 ",81.9,102.6,72.7,11.4,46.2,144373535,61.52401,105.318756
71,22000,Food & Beverage,Emmanuel Besnier,52,France,Laval,Cheese,Food & Beverage,France,,FALSE,D,M,9/18/1970 0:00,Besnier,Emmanuel,,04-04-2023 05:01,,,1970,9,18,110.05,1.1,"$2,715,518,274,227 ",65.6,102.5,82.5,24.2,60.7,67059887,46.227638,2.213749
72,21600,Finance & Investments,Abigail Johnson,61,United States,Milton,Fidelity,Finance & Investments,United States,Fidelity Investments,FALSE,U,F,12/19/1961 0:00,Johnson,Abigail,CEO,04-04-2023 05:01,Massachusetts,Northeast,1961,12,19,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
74,21200,Fashion & Retail,Lukas Walton,36,United States,Chicago,Walmart,Fashion & Retail,United States,,FALSE,U,M,9/19/1986 0:00,Walton,Lukas,,04-04-2023 05:01,Illinois,Midwest,1986,9,19,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
76,21100,Technology,Jensen Huang,60,United States,Los Altos,Semiconductors,Technology,United States,Nvidia,TRUE,U,M,2/17/1963 0:00,Huang,Jensen,CEO & President,04-04-2023 05:01,California,West,1963,2,17,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
77,21000,Fashion & Retail,Leonard Lauder,90,United States,New York,Estee Lauder,Fashion & Retail,United States,The Estée Lauder Companies,FALSE,D,M,3/19/1933 0:00,Lauder,Leonard,Chairman Emeritus,04-04-2023 05:01,New York,Northeast,1933,3,19,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
79,20900,Metals & Mining,Alexey Mordashov & family,57,Russia,Moscow,"Steel, investments",Metals & Mining,Russia,,TRUE,U,M,9/26/1965 0:00,Mordashov,Alexey,,04-04-2023 05:01,,,1965,9,26,180.75,4.5,"$1,699,876,578,871 ",81.9,102.6,72.7,11.4,46.2,144373535,61.52401,105.318756
80,20500,Energy,Vagit Alekperov,72,Russia,Moscow,Oil,Energy,Russia,,TRUE,U,M,9/1/1950 0:00,Alekperov,Vagit,,04-04-2023 05:01,,,1950,9,1,180.75,4.5,"$1,699,876,578,871 ",81.9,102.6,72.7,11.4,46.2,144373535,61.52401,105.318756
81,20200,Healthcare,"Thomas Frist, Jr. & family",84,United States,Nashville,Hospitals,Healthcare,United States,,TRUE,D,M,8/12/1938 0:00,Frist,Thomas,,04-04-2023 05:01,Tennessee,South,1938,8,12,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
82,19600,Metals & Mining,Andrew Forrest,61,Australia,Perth,Mining,Metals & Mining,Australia,,TRUE,U,M,11/18/1961 0:00,Forrest,Andrew,,04-04-2023 05:01,,,1961,11,18,119.8,1.6,"$1,392,680,589,329 ",113.1,100.3,82.7,23,47.4,25766605,-25.274398,133.775136
83,19100,Finance & Investments,Ray Dalio,73,United States,Greenwich,Hedge funds,Finance & Investments,United States,Bridgewater Associates,TRUE,D,M,8/8/1949 0:00,Dalio,Ray,Founder & Co-Chief Investment Officer,04-04-2023 05:01,Connecticut,Northeast,1949,8,8,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
84,19000,Automotive,Eric Li,59,China,Hangzhou,Automobiles,Automotive,China,,TRUE,D,M,6/1/1963 0:00,Li,Eric,,04-04-2023 05:01,,,1963,6,1,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
86,18900,Diversified,Eyal Ofer,72,Monaco,Monte Carlo,"Real estate, shipping",Diversified,Israel,,FALSE,U,M,6/2/1950 0:00,Ofer,Eyal,,04-04-2023 05:01,,,1950,6,2,,,"$7,184,844,193 ",,,,,,38964,43.7384176,7.4246158
88,18700,Automotive,Wang Chuanfu,57,China,Shenzhen,"Batteries, automobiles",Automotive,China,,TRUE,D,M,2/15/1966 0:00,Wang,Chuanfu,,04-04-2023 05:01,,,1966,2,15,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
89,18500,Energy,Harold Hamm & family,77,United States,Oklahoma City,Oil & gas,Energy,United States,Continental Resources Inc. ,TRUE,U,M,12/11/1945 0:00,Hamm,Harold,Chairman and CEO,04-04-2023 05:01,Oklahoma,South,1945,12,11,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
92,18000,Finance & Investments,Daniel Gilbert,61,United States,Franklin,Quicken Loans,Finance & Investments,United States,,TRUE,D,M,1/17/1962 0:00,Gilbert,Daniel,,04-04-2023 05:01,Michigan,Midwest,1962,1,17,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
93,17700,Metals & Mining,Lakshmi Mittal,72,United Kingdom,London,Steel,Metals & Mining,India,ArcelorMittal (ADR),FALSE,D,M,6/15/1950 0:00,Mittal,Lakshmi,Chairman and CEO,04-04-2023 05:01,,,1950,6,15,119.62,1.7,"$2,827,113,184,696 ",60,101.2,81.3,25.5,30.6,66834405,55.378051,-3.435973
94,17500,Finance & Investments,Steve Cohen,66,United States,Greenwich,Hedge funds,Finance & Investments,United States,Point72 Asset Management,TRUE,U,M,6/11/1956 0:00,Cohen,Steve,Founder,04-04-2023 05:01,Connecticut,Northeast,1956,6,11,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
97,17400,Real Estate,Donald Bren,90,United States,Newport Beach,Real estate,Real Estate,United States,Irvine Company,TRUE,U,M,5/11/1932 0:00,Bren,Donald,Chairman,04-04-2023 05:01,California,West,1932,5,11,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
